product,url,alertPrice
Nothing Phone(1),https://www.amazon.in/Nothing-Phone-Black-128-RAM/dp/B0BKZVF7VV,27950
iPhone 14,https://www.amazon.in/Apple-iPhone-128GB-Space-Black/dp/B0BDJ7P6NG,121990
